Municipality,displaced_people
AGUTAYA ,7475
BUSUANGA ,19260
CORON ,38295
CULION ,13800
CUYO ,4632
LINAPACAN ,2282
BALUD ,15366
ALTAVAS,23690
BALETE,26910
BANGA,37720
BATAN,30084
BURUANGA,13800
IBAJAY ,44850
KALINGA,47081
LEZO,13294
LIBACAO,24799
MADALAG ,17710
MALAY,3303
MAKATO,19762
MALINAO ,23391
NABAS ,16013
NEW WASHINGTON ,35862
NUMANCIA ,28750
TANGALAN ,12770
BARBAZA ,23000
BUGASONG ,20939
CALUYA ,10656
CULASI ,24632
LAUA-AN ,26882
LIBERTAD,4357
PANDAN ,23832
PATNONGON ,9620
SAN REMEGIO ,8682
SEBASTE,4468
TIBIAO ,16249
VALDERAMA ,12546
CUARTERO ,25337
DAO ,31648
DUMALAG ,29169
DUMARAO,43728
IVISAN,24150
JAMINDAN,33161
MAAYON,33746
MAMBUSAO,35466
PANAY,37734
PANITAN,37067
PILAR,35457
PONTEVEDRA,31929
PRES. ROXAS,25544
ROXAS CITY ,105961
SAPI-AN,24780
SIGMA,28745
TAPAZ,48024
AJUY,46814
ALIMODIAN ,2967
ANILAO ,18819
BADIANGAN,7020
BALASAN,28699
BANATE,29504
BATROTOC NUEVO,18073
BAROTOC VIEJO,41446
BATAD ,19320
BINGAWAN,13110
CABATUAN ,6771
CALINOG ,45568
CARLES ,61755
CONCEPCION,38806
DINGLE,30700
DUENAS,23382
DUMANGAS,34068
ESTANCIA,41589
JANIUAY ,16850
LAMBUNAO ,36105
LEMERY ,26988
MAASIN,2024
MINA,2052
NEW LUCENA ,1665
PASSI CITY ,71167
POTOTAN ,24385
SAN DIONISIO ,30820
SAN ENRIQUE,25167
SAN RAFAEL ,14260
SARA ,45876
ZARRAGA ,19453
MANAPLA,24251
CADIZ CITY ,112976
EB MAGALONA,17494
ESCALANTE CITY,27775
SAGAY CITY ,61033
SILAY CITY ,13358
VICTORIAS CITY ,24403
BANTAYAN ,74785
BOGO CITY ,69911
BORBON,24532
DAANBANTAYAN,74897
MADRIDEJOS,34905
MEDELLIN,52747
PILAR,11178
PORO,6647
SAN FRANCISCO,20415
SAN REMEGIO ,16673
SOGOD ,16069
STA. FE ,27270
TABOGON ,9472
TABUELAN,22292
TUBURAN ,23690
TUDELA ,6900
ALMERIA,20399
BILIRAN ,1578
CABUCGAYAN ,2368
CAIBIRAN ,6057
CULABA ,3295
NAVAL ,1730
ABUYOG ,23058
ALANG-ALANG,52342
ALBUERA,23571
BABATNGON ,5384
BARUGO ,20655
BURAUEN ,35240
CALUBIAN ,12328
CAPOOCAN ,18986
CARIGARA ,30267
DAGAMI ,36569
DULAG,43762
ISABEL,31142
JARO ,37908
JAVIER,17059
JULITA,15158
KANANGA,50193
LA PAZ ,13667
LEYTE,12901
MACARTHUR ,13376
MAHAPLAG,5670
MATAG-OB,12226
MAYORGA ,11140
MERIDA ,13505
PALO ,80546
PALOMPON,38691
PASTRANA ,18117
SAN ISIDRO ,15984
SAN MIGUEL ,12544
STA. FE ,11243
TABANGO ,22810
TABON-TABON ,7025
TANAUAN ,57586
TOLOSA,12944
TUNGA ,6734
VILLABA ,27734
BAYBAY CITY ,29211
ORMOC CITY ,51893
TACLOBAN CITY ,276509
BALANGIGA ,12507
BALANGKAYAN,2686
GEN. MAC ARTHUR ,7033
GIPORLOS,13667
GUIUAN,46037
HERNANI,7614
LAWAAN,13184
LLORENTE,7696
MAYDOLONG,8142
MERCEDES,5253
QUINAPONDAN,6909
SALCEDO ,6619
SILAGO ,4742
BASEY ,4535
DARAM ,0
MARABUT ,15650
STA. RITA ,20785
TALALORA ,7810
LORETO ,5371
